benchmark;system;size;40;160;400;1600
uc4;beam-flink;256000;;;;
uc4;beam-flink;512000;;;;
uc4;beam-flink;1024000;;;;
uc4;beam-flink;2048000;;;;
uc4;beam-samza;10000;;;;
uc4;beam-samza;20000;;;;
uc4;beam-samza;4000;;;;
uc4;beam-samza;8000;;;;
uc4;beam-samza;16000;;;;
uc4;beam-samza;32000;;;;
uc4;beam-samza;64000;;;;
uc4;beam-samza;128000;;;;
uc4;beam-samza;256000;;;;
uc4;beam-samza;512000;;;;
uc4;beam-samza;1024000;;;;
uc4;beam-samza;2048000;;;;
uc2;beam-samza;10000;5,0;1,0;;
uc2;beam-samza;20000;2,0;1,0;;
uc2;beam-samza;4000;1,0;1,0;;5,0
uc2;beam-samza;8000;1,0;1,0;;
uc2;beam-samza;16000;1,0;1,0;;
uc2;beam-samza;32000;1,0;1,0;;
uc2;beam-samza;64000;5,0;1,0;;
uc2;beam-samza;128000;5,0;1,0;;
uc2;beam-samza;256000;1,0;1,0;;
uc2;beam-samza;512000;5,0;1,0;;
uc2;beam-samza;1024000;1,0;1,0;;
uc2;beam-samza;2048000;1,0;1,0;;
uc2;kstreams;10000;1,0;1,0;;
uc2;kstreams;20000;2,0;1,0;;
uc2;kstreams;4000;1,0;1,0;;
uc2;kstreams;8000;1,0;1,0;;
uc2;kstreams;16000;1,0;1,0;;
uc2;kstreams;32000;5,0;2,0;;
uc2;kstreams;64000;5,0;1,0;;
uc2;kstreams;128000;2,0;5,0;;
uc2;kstreams;256000;2,0;5,0;;
uc2;kstreams;512000;1,0;1,0;;
uc2;kstreams;1024000;1,0;1,0;;
uc2;kstreams;2048000;1,0;1,0;;
uc3;beam-flink;10000;;;;
uc3;beam-flink;20000;;;;
uc3;beam-flink;4000;;;;5,0
uc3;beam-flink;8000;;;;
uc3;beam-flink;16000;;;;
uc3;beam-flink;32000;;;;
uc3;beam-flink;64000;;;;
uc3;beam-flink;128000;;;;
uc3;beam-flink;256000;;;;
uc3;beam-flink;512000;;;;
uc3;beam-flink;1024000;;;;
uc3;beam-flink;2048000;;;;
