labels,timestamp,value
{consumergroup=__strimzi-topic-operator-kstreams},1655575639,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575644,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575649,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575654,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575659,1
{consumergroup=__strimzi-topic-operator-kstreams},1655575664,1
{consumergroup=__strimzi-topic-operator-kstreams},1655575669,1
{consumergroup=__strimzi-topic-operator-kstreams},1655575674,3
{consumergroup=__strimzi-topic-operator-kstreams},1655575679,3
{consumergroup=__strimzi-topic-operator-kstreams},1655575684,3
{consumergroup=__strimzi-topic-operator-kstreams},1655575689,3
{consumergroup=__strimzi-topic-operator-kstreams},1655575694,3
{consumergroup=__strimzi-topic-operator-kstreams},1655575699,3
{consumergroup=__strimzi-topic-operator-kstreams},1655575704,0
