labels,timestamp,value
{consumergroup=__strimzi-topic-operator-kstreams},1655575944,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575949,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575954,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575959,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575964,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575969,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575974,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575979,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575984,0
{consumergroup=__strimzi-topic-operator-kstreams},1655575989,0
