load,resources
4000,-2147483648
8000,-2147483648
10000,-2147483648
16000,-2147483648
20000,-2147483648
32000,-2147483648
64000,-2147483648
128000,-2147483648
256000,-2147483648
512000,-2147483648
1024000,-2147483648
2048000,-2147483648
