labels,timestamp,value
{consumergroup=__strimzi-topic-operator-kstreams},1655643445,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643450,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643460,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643465,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643470,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643475,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643480,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643485,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643490,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643495,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643500,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643505,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643510,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643515,0
{consumergroup=__strimzi-topic-operator-kstreams},1655643520,0
