labels,timestamp,value
{consumergroup=__strimzi-topic-operator-kstreams},1655329165,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329170,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329175,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329180,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329185,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329190,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329195,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329200,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329205,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329210,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329215,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329220,0
{consumergroup=__strimzi-topic-operator-kstreams},1655329225,0
