labels,timestamp,value
{consumergroup=__strimzi-topic-operator-kstreams},1655472352,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472367,3
{consumergroup=__strimzi-topic-operator-kstreams},1655472372,3
{consumergroup=__strimzi-topic-operator-kstreams},1655472377,3
{consumergroup=__strimzi-topic-operator-kstreams},1655472382,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472387,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472392,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472397,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472402,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472407,0
{consumergroup=__strimzi-topic-operator-kstreams},1655472412,0
